Date,Open,High,Low,Close,Adj Close,Volume
3/10/2000,240,250,232.6000061,236.2700043,152.2845459,1363200
3/13/2000,241.0099945,254.9250031,240.1000061,251.9199982,162.3715363,1408900
3/14/2000,254,272,251,266.8150024,171.9719238,2478930
3/15/2000,270,288.1600037,265,288.1600037,185.729538,1129810
3/16/2000,290.0100098,304,285,291.625,187.9628601,2166470
3/21/2000,295,298,279,282.8599854,182.3134918,1575880
3/22/2000,281.7000122,284.3999939,260.2349854,271.3999939,174.9270782,1557710
3/23/2000,270,270,260.2000122,264.0750122,170.2058868,744470
3/24/2000,265,268,258.1000061,261.3349915,168.4398956,849510
3/27/2000,264.8999939,270.8999939,248,250.5200043,161.4692383,1693190
3/28/2000,249.8450012,255,246.1000061,250.8249969,161.6657715,1011030
3/29/2000,258.7900085,258.7900085,246.5,248.0149994,159.8546906,633030
3/30/2000,248,254.8000031,245,251.7400055,162.2555695,888970
3/31/2000,250,254.8999939,240,241.2400055,155.487915,1232490
4/3/2000,245,260.5400085,243,260.5400085,167.9274292,1869970
4/4/2000,260.8999939,262,239.6999969,239.7799988,154.5468597,3230190
4/5/2000,235,256,235,254.0449982,163.7412109,1579810
4/6/2000,256,258,248.5,254.8500061,164.260025,1479270
4/7/2000,255,275.2399902,255,273.6350098,176.3676453,2588120
4/10/2000,275,287.480011,271.1000061,274.4599915,176.899353,2259220
4/11/2000,270.1000061,274,262.1000061,270.3500061,174.250351,1205730
4/12/2000,264,270,262,263.1549988,169.6129303,446840
4/13/2000,256,262.8999939,251,257.7799988,166.1485596,805580
4/17/2000,251,252,237.5,248.0899963,159.9029694,1972360
4/18/2000,250.9750061,258,245,246.6199951,158.9555054,1127770
4/19/2000,251.5,258,243.8000031,250.3650055,161.369339,897730
4/20/2000,252.3999939,255,245.8000031,252.9100037,163.0096741,957160
4/24/2000,255,262.8999939,250.1000061,254.5,164.0344543,777020
4/25/2000,250.8999939,253.3999939,241,242.8699951,156.538559,1464200
4/26/2000,255,255,246.6000061,249.8150024,161.0148315,1454490
4/27/2000,251.5,253.9400024,245,247.5149994,159.5323792,979420
4/28/2000,248.9850006,249.8000031,238,239.8000031,154.5597992,790750
5/2/2000,238.1000061,240.0050049,212,218.6799927,140.9472046,1596590
5/3/2000,215,232.8999939,203.1000061,218.5950012,140.8923645,2177960
5/4/2000,221.8000031,243.6999969,219.1999969,240.9949951,155.3299866,1832040
5/5/2000,243,255,242,253.6499939,163.4866028,2086010
5/8/2000,251.1000061,259,237.3099976,239.2949982,154.2342834,1211370
5/9/2000,237.2200012,248,234.3000031,245.6049957,158.3013,986290
5/10/2000,249.3999939,249.3999939,240.1000061,241.5899963,155.7134857,436950
5/11/2000,240.1000061,240.1000061,224.5050049,229.0950012,147.6600189,1067720
5/12/2000,230,234.9900055,225.6000061,227.8150024,146.8350525,774810
5/15/2000,225.0149994,235,215.1000061,232.3399963,149.7515564,1388630
5/16/2000,234.1999969,234.8999939,228.1000061,232.8600006,150.0867462,629990
5/17/2000,235,238.3999939,230.6999969,231.7200012,149.351944,579770
5/18/2000,235,237.1999969,225.5599976,235.4799957,151.7753906,479260
5/19/2000,237,237,222.5,224.6600037,144.8014832,2091810
5/22/2000,220.0050049,227,215.1000061,222.0850067,143.1417999,856110
5/23/2000,220,223.8000031,219.0500031,220.3549957,142.0267639,610720
5/24/2000,207.5,224,207.5,222.1150055,143.1611938,384650
5/25/2000,224,229.8999939,221,223.625,144.1343994,819490
5/26/2000,225,250.4600067,223.1999969,250.3000031,161.3274078,3013660
5/29/2000,252.5,269,251,257.230011,165.7940216,2144790
5/30/2000,254.1999969,257.5,248.2100067,254.8650055,164.2696991,1257200
5/31/2000,257,265.4949951,255.1000061,257.8800049,166.2130127,2633440
6/1/2000,255.1199951,258.394989,247.5,249.0350037,160.5120544,1349930
6/2/2000,250,257.3999939,245.1000061,255.4850006,164.6693268,1432180
6/5/2000,257.2999878,264.5,255,256.4899902,165.3170776,1500130
6/6/2000,255.1999969,262,254.0249939,259.2200012,167.0767059,930160
6/7/2000,264.7999878,265,256,257.5100098,165.9745178,648190
6/8/2000,259.1000061,269,259.1000061,261.1300049,168.3077393,1227920
6/9/2000,263.5,263.5,259,260.5050049,167.904892,603670
6/12/2000,261,262,252.5,253.6549988,163.4898224,427380
6/13/2000,252.8999939,255.9900055,248.1000061,249.9299927,161.088913,872630
6/14/2000,229.9400024,260,229.9400024,253.3399963,163.2867889,842270
6/15/2000,250.1999969,255.3999939,247.6000061,248.4600067,160.1414642,718000
6/16/2000,249.8000031,252.4799957,248.1000061,249.2200012,160.6313019,557990
6/19/2000,251.6999969,257,249.8999939,253.3650055,163.3029175,701250
6/20/2000,252.1000061,255.3999939,250.1999969,251.1399994,161.8688049,915710
6/21/2000,271.2349854,271.2349854,253,257.3200073,165.8520508,3592980
6/22/2000,257,267.3999939,256.8999939,265.5650024,171.1662598,2148690
6/23/2000,264.5,284.5,263,280.6950073,180.9181061,5888880
6/26/2000,280.8999939,283,273.1000061,275.9849854,177.8823242,2585180
6/27/2000,274.2000122,284.3999939,272,282.3649902,181.9944763,2974530
6/28/2000,284.8999939,289.9899902,279.1099854,288.1749878,185.7391968,3165590
6/29/2000,290,294.7999878,287.0100098,288.9500122,186.2387238,2133990
6/30/2000,289.1000061,294.8999939,282.5,283.769989,182.9000702,2469330
7/3/2000,285.9949951,288,269.1000061,270.4450073,174.3115997,2604280
7/4/2000,268,279.8999939,268,277.1700134,178.6460724,2148070
7/5/2000,288,289,278,286.7000122,184.7885132,15816220
7/6/2000,284,286.9500122,277,279.7999878,180.3412323,9661520
7/7/2000,279.8500061,282.8999939,275.5,276.8999939,178.4720612,8166990
7/10/2000,278,281.25,275,279,179.825592,737147
7/11/2000,277,279.5,276,278.1000061,179.2454987,427376
7/12/2000,280,284.3999939,276.75,282.5499878,182.113678,833942
7/13/2000,284.5,305.1499939,282,292.8999939,188.7846832,4560483
7/14/2000,294.7999878,300.7999878,291.1000061,295.2000122,190.2671051,2162216
7/17/2000,294.5499878,298,276.1499939,278.3999939,179.4388885,1786734
7/18/2000,279.7999878,281.7999878,275,275.9500122,177.8597565,1113365
7/19/2000,280,281.4500122,266.2999878,267.5499878,172.4456177,1169111
7/20/2000,272.8500061,272.8500061,260,261.7999878,168.739563,1531108
7/21/2000,264.8999939,264.8999939,255.25,256.5,165.3235016,1073477
7/24/2000,255,255.1000061,238.1000061,240.3999939,154.9465485,2005575
