Date,Open,High,Low,Close,Adj Close,Volume
1/3/2000,70.5,75.94999695,70.5,75.69000244,11.59175014,75120
1/4/2000,71,77,71,75.45500183,11.55576038,81350
1/5/2000,75.5,75.90000153,70.5,73.52999878,11.26095104,60950
1/6/2000,74,79.41500092,74,78.56500244,12.03204727,196970
1/7/2000,80.80000305,84.84999847,79.80000305,84.84999847,12.99458122,331070
1/10/2000,90,91.63999939,86.5,91.22000122,13.97013283,295750
1/11/2000,92,92,83.92500305,85.375,13.07498264,206350
1/12/2000,90,90,86.05500031,88.26999664,13.51834965,93120
1/13/2000,89,92,87.5,88.13999939,13.49843597,195260
1/14/2000,87.25,88,86.40000153,86.96499634,13.31848812,156750
1/17/2000,88,89,87,87.59500122,13.41496944,71250
1/18/2000,87.01000214,89.90000153,86.80000305,88.10500336,13.49307728,125260
1/19/2000,88.90000153,91.09999847,88.90000153,90.08499908,13.79631233,141080
1/20/2000,90.69999695,91.98999786,89.35500336,89.56999969,13.71743679,56710
1/21/2000,89.79000092,89.79000092,88.52500153,88.82499695,13.60334492,18880
1/24/2000,88,89.5,85.09999847,88.47499847,13.54973984,63510
1/25/2000,87.09999847,89,87,88.125,13.49614048,68590
1/27/2000,86.58999634,88.5,81.07499695,83.02999878,12.71585464,146780
1/28/2000,80,81.5,78.19999695,79.24500275,12.13618851,64180
1/31/2000,77.86499786,78.80000305,72.92500305,74.67500305,11.43630409,54160
2/1/2000,75.09999847,75.90000153,72.09999847,73.15000153,11.20275307,73470
2/2/2000,74,75.19999695,70,73.10500336,11.19586372,49390
2/3/2000,75,75,69.5,71.41500092,10.93704224,116190
2/4/2000,72,72,70.59999847,71.34999847,10.92709064,131470
2/7/2000,70.09999847,71.69999695,70,70.16999817,10.74637127,71950
2/8/2000,70.40000153,70.40000153,68,68.55000305,10.4982748,150830
2/9/2000,71.40000153,74.03500366,69.5,70.73999786,10.83366776,233570
2/10/2000,71.90000153,73,70.69999695,71.20999908,10.90564442,113410
2/11/2000,72.30000305,72.90000153,70,70.41500092,10.78389359,207950
2/14/2000,71,71.09999847,69,69.05999756,10.57638168,77650
2/15/2000,68.09999847,68.09999847,64,65.33000183,10.00513935,186220
2/16/2000,67,68,66.19999695,67.47000122,10.3328743,108760
2/17/2000,67,69.80000305,67,67.69999695,10.36809731,89260
2/18/2000,67,69.48999786,66.09999847,66.70500183,10.21571732,114600
2/21/2000,67.5,69,65.5,66.56999969,10.19504356,79930
2/22/2000,67,67,65.5,65.74500275,10.06869602,111420
