Date,Open,High,Low,Close,Adj Close,Volume
9/16/2002,58.20000076,59.5,58.20000076,59.4659996,25.17204285,640950
9/17/2002,59.09999847,59.59600067,58.79999924,59.34999847,25.12293816,374990
9/18/2002,58.70600128,59.72999954,58.70000076,59.47999954,25.17797279,375700
9/19/2002,59.06000137,59.59999847,58.90599823,59.38000107,25.13563919,615380
9/20/2002,58.90000153,59.72600174,58.90000153,59.43000031,25.15680695,350560
9/23/2002,59.29999924,59.40000153,56.5,59.00999832,24.97901344,776030
9/24/2002,59.29600143,59.5,58.54999924,59.36600113,25.12971497,1027690
9/25/2002,58,59.09999847,57.79999924,58.86600113,24.9180584,661720
9/26/2002,59,59.75,57.79999924,59.35599899,25.12547874,598740
9/27/2002,59.40000153,60.20000076,59.11000061,59.97999954,25.38962364,477950
9/30/2002,59.79999924,60.15000153,59.22600174,59.88999939,25.35151863,607500
10/1/2002,60,60.65000153,59.72600174,60.56000137,25.63513565,296570
10/2/2002,60.56000137,60.56000137,60.56000137,60.56000137,25.63513565,0
10/3/2002,60,60.00999832,58.90000153,59.95000076,25.3769207,585280
10/4/2002,59.99000168,61.5,59.99000168,60.97600174,25.8112278,727810
10/7/2002,60.06600189,61.29999924,60.06600189,61.16600037,25.89165688,175940
10/8/2002,60.82600021,61.47000122,60.20999908,61.00600052,25.82392693,341440
10/9/2002,60.79999924,61.50999832,60.79999924,61.24599838,25.92551994,513560
10/10/2002,60.81999969,61.18999863,60.79600143,60.84000015,25.75365639,451880
10/11/2002,63.5,67.40000153,61.00600052,61.43600082,26.00595284,1086550
10/14/2002,62,62.90999985,61.25,61.72000122,26.12616348,214960
10/15/2002,61.72000122,61.72000122,61.72000122,61.72000122,26.12616348,0
10/16/2002,62,63.90000153,61.93000031,63.02999878,26.68069077,1405170
10/17/2002,63.20000076,63.87599945,61.11000061,61.91999817,26.21082497,2247100
10/18/2002,62.79000092,63,61.5,61.76599884,26.14562798,534690
10/21/2002,61.90000153,62.09600067,61.50600052,61.72600174,26.12870026,279090
10/22/2002,62.5,63.70000076,61.70999908,63.40999985,26.84153938,936150
10/23/2002,63,64.15000153,62.72600174,63.88000107,27.04049492,894080
10/24/2002,62.90000153,64,60.90000153,63.11999893,26.71879005,943100
10/25/2002,63.20000076,63.90000153,62.79999924,63.40999985,26.84153938,376050
10/28/2002,63.5,63.54999924,62.79999924,63.09600067,26.70862579,329130
10/29/2002,62.79999924,63.45000076,62.59999847,62.91999817,26.63411903,629050
10/30/2002,62.79999924,63.20000076,62.5,62.94599915,26.64513588,823700
10/31/2002,63,63,62,62.75600052,26.56470871,699580
11/1/2002,62.70600128,63,62.52600098,62.75600052,26.56470871,761200
11/4/2002,63.20000076,63.20000076,62.59999847,63.09999847,26.71032143,38350
11/5/2002,63,63.79999924,62.90000153,63.43999863,26.85423851,254520
11/6/2002,63.43999863,63.43999863,63.43999863,63.43999863,26.85423851,0
11/7/2002,62.80599976,63.59999847,62.80599976,63.41999817,26.8457737,203130
11/8/2002,63.40000153,63.49000168,62.90000153,63.15599823,26.73402786,218230
11/11/2002,62.94599915,64,62.94599915,63.82600021,27.01763344,782180
11/12/2002,64.19999695,64.68000031,63.11999893,64.22000122,27.18442535,680520
11/13/2002,64.90000153,64.90000153,63.90000153,64.46600342,27.28854942,517910
11/14/2002,64.59999847,65.59999847,64.19999695,65.08000183,27.54846191,1097080
11/15/2002,65.63999939,66.65000153,65.0059967,66.10600281,27.98276901,671190
11/18/2002,65.90000153,66.09999847,65.31999969,65.91999817,27.90402794,486640
11/19/2002,65.91999817,65.91999817,65.91999817,65.91999817,27.90402794,0
11/20/2002,66,67,65.88600159,66.88600159,28.31293869,874470
11/21/2002,66.83000183,69.09600067,66.80000305,68.98600006,29.20187759,1131290
11/22/2002,69.5,69.5,67.48600006,68.26599884,28.89709663,463660
11/25/2002,68.38600159,68.72000122,67,67.79000092,28.69560432,939310
11/26/2002,67.59999847,69,67.5,68.93000031,29.17816734,967040
11/27/2002,68.59999847,68.80599976,68,68.12000275,28.83529472,564230
11/28/2002,68.19999695,68.9960022,58.99599838,68.85600281,29.14684677,434430
11/29/2002,68.98999786,68.98999786,68.11000061,68.43000031,28.96651459,278870
12/2/2002,68.59999847,68.80000305,66.69999695,67.6760025,28.64734459,1200050
12/3/2002,68.69999695,68.9960022,66,66.48999786,28.14530754,1584770
12/4/2002,66.09999847,69,64.30000305,66.13600159,27.99546051,3768580
12/5/2002,68,68.5,67,68.11000061,28.83105469,703920
12/6/2002,68.5,68.90000153,67.19999695,68.72599792,29.09181023,308520
12/9/2002,68.80000305,68.9960022,67.80000305,68.15000153,28.84799004,1728880
12/10/2002,68,68.98999786,67.59999847,68.08000183,28.81836319,2322360
